ÚLTIMA ATUALIZAÇÃO;01/06/2022 05:34                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
NOME;ESTADO;PARTIDO;SETOR;ENDEREÇO;TELEFONE;FAX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ACIR GURGACZ;RO;PDT;Escritório de Apoio do Senador Acir Gurgacz;AVENIDA JI-PARANÁ, 417. URUPÁ, JI-PARANÁ, RO. CEP:76900-239;(69) 3421-0912;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ACIR GURGACZ;RO;PDT;Escritório de Apoio nº 02 do Senador Acir Gurgacz;RUA SALGADO FILHO, 3286. SÃO JOÃO BOSCO, PORTO VELHO, RO.;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ALESSANDRO VIEIRA;SE;PSDB;Escritório de Apoio nº 01 do Senador Alessandro Vieira;AVENIDA AUGUSTO FRANCO, 2980. LOJA 05 SHOPPING CASA DESIGN. TEL. (79)3303-4349. PONTO NOVO, ARACAJU, SE. CEP:49047-420;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ALEXANDRE SILVEIRA;MG;PSD;Escritório de Apoio 1 do Senador Alexandre Silveira;RUA SANTA CATARINA, 1631. 9º ANDAR. LOURDES, BELO HORIZONTE, MG. CEP:30170-081;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ALVARO DIAS;PR;PODEMOS;Escritorio de Apoio do Senador Alvaro Dias;RUA COMENDADOR ARAÚJO, 510. CJ. 503. CURITIBA, PR. CEP:80420-000;(41) 3311-4059;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ANGELO CORONEL;BA;PSD;Escritório de Apoio nº 01 do Senador Angelo Coronel;ALAMEDA DAS FRAMBOESAS, 349. CAMINHO DAS ÁRVORES, SALVADOR, BA. CEP:41820-450;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
CARLOS FÁVARO;MT;PSD;Escritório de Apoio nº 01 do Senador Carlos Fávaro;RUA ALEMANHA, 750. SANTA ROSA, CUIABA, MT. CEP:78040-010;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
CARLOS PORTINHO;RJ;PL;Escritório de Apoio nº1 do Senador Carlos Portinho;;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
CARLOS VIANA;MG;PL;Escritório de Apoio nº 01 do Senador Carlos Viana;RUA GUAJAJARAS, 40. SALA 604, EDIFÍCIO MIRAFIORI. CENTRO, BELO HORIZONTE, MG. CEP:30180-100;(31) 3327-0044;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
CHICO RODRIGUES;RR;UNIÃO;Escritório de Apoio nº 01 do Senador Chico Rodrigues;AVENIDA SURUMU, 776. TEL. (95) 3623-7475. SÃO VICENTE, BOA VISTA, RR. CEP:69303-455;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
CID GOMES;CE;PDT;Escritório de Apoio nº 01 do Senador Cid Gomes;AVENIDA DOM JOSÉ TUPINAMBÁ DA FROTA, 445. SALA 2. SOBRAL, CE. CEP:62010-290;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
CID GOMES;CE;PDT;Escritório de Apoio nº 02 do Senador Cid Gomes;AVENIDA DESEMBARGADOR MOREIRA, 1300. ED. BS DESIGN CORPORATE TOWERS, SALAS 317 E 319. ALDEOTA, FORTALEZA, CE. CEP:60170-002;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
CONFUCIO MOURA;RO;MDB;Escritório de Apoio nº 01 do Senador Confúcio Moura;RUA BECO CORONEL CARLOS MADER, 163. CENTRO, PORTO VELHO, RO. CEP:76801-008;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
DANIELLA RIBEIRO;PB;PSD;Escritório de Apoio nº 01 da Senadora Daniella Ribeiro;RUA BENJAMIN CONSTANT, 170. SALA 803. ESTAÇÃO VELHA, CAMPINA GRANDE, PB. CEP:58410-003;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
DARIO BERGER;SC;PSB;Escritório de Apoio 1 do Senador Dário Berger;AVENIDA ENGENHEIRO MAX DE SOUZA, 1135. ED. CORAL CORPORATE - SALA 409. COQUEIROS, FLORIANÓPOLIS, SC. CEP:88080-000;(48) 3249.7915;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
DAVI ALCOLUMBRE;AP;UNIÃO;Escritório de Apoio nº 1 do Senador Davi Alcolumbre;AVENIDA LUIZ CARLOS DE ARAÚJO MONTEIRO, 197. JARDIM EQUATORIAL, MACAPA, AP. CEP:68903-008;(96) 3345-9263;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
DRA. EUDOCIA;AL;PSB;Escritório de Apoio 1 da Senadora Dra. Eudócia;RUA SAMPAIO MARQUES, 25. SALA 816, EDIFÍCIO DELMAN EMPRESARIAL. PAJUÇARA, MACEIO, AL. CEP:57030-107;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
EDUARDO BRAGA;AM;MDB;Escritório do Senador Eduardo Braga;ALAMEDA PORTUGAL, 109. QUADRA 7. PONTA NEGRA, MANAUS, AM. CEP:69037-023;(92) 3643-9511;(92) 36439531                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
EDUARDO GIRÃO;CE;PODEMOS;Escritório de Apoio nº 01 do Senador Eduardo Girão;AVENIDA DESEMBARGADOR MOREIRA, 2120. SALA 1.306, DIONÍSIO TORRES. ALDEOTA, FORTALEZA, CE. CEP:60170-002;(85) 98548-5469;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
EDUARDO GOMES;TO;PL;Escritório de Apoio nº 01 do Senador Eduardo Gomes;QUADRA 208 NORTE. ALAMEDA 26, LOTE 06. PLANO DIRETOR NORTE, PALMAS, TO. CEP:77006-290;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
EDUARDO GOMES;TO;PL;Escritório de Apoio nº 02 do Senador Eduardo Gomes;RUA 1º DE JANEIRO, 1504. CENTRO, ARAGUAÍNA, TO. CEP:77803-140;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ELIANE NOGUEIRA;PI;PP;Escritório de Apoio nº 1 da Senadora Eliane Nogueira;RUA ANTÔNIO CHAVES, 1975. DOS NOIVOS, TERESINA, PI. CEP:64045-340;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ELIZIANE GAMA;MA;CIDADANIA;Escritório de Apoio nº 01 da Senadora Eliziane Gama;RUA AZULÕES, 1. QUADRA 2, SALAS 328 E 329. JARDIM RENASCENÇA, SÃO LUIS, MA. CEP:65075-060;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ELMANO FÉRRER;PI;PP;Escritório de Apoio 1 do Senador Elmano Férrer;AVENIDA DOM SEVERINO, 1323. EDIFÍCIO SANTA FÉ, TÉRREO B. FÁTIMA, TERESINA, PI. CEP:64051200;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ESPERIDIÃO AMIN;SC;PP;Escritório de Apoio nº 01 do Senador Esperidião Amin;RUA ÁLVARO DE CARVALHO, 267. 10º ANDAR ED. MAPIL. CENTRO, FLORIANÓPOLIS, SC. CEP:88010-040;(48) 3222-4100;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
FABIANO CONTARATO;ES;REDE;Escritório de Apoio nº 01 do Senador Fabiano Contarato;RUA INÁCIO HIGINO, 673. SALA 610 - ED. MUBADALLA OFFICE. PRAIA DA COSTA, VILA VELHA, ES. CEP:29101-087;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
FABIO GARCIA;MT;UNIÃO;Escritório de Apoionº 01 do Senador Fabio Garcia;AVENIDA CASTELO BRANCO, 325. SALA 81. CENTRO SUL, VARZEA GRANDE, MT. CEP:78110-901;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
FERNANDO BEZERRA COELHO;PE;MDB;Escritório de Apoio 1 do Senador Fernando Bezerra Coelho;AVENIDA REPÚBLICA DO LÍBANO, 251. S. 911 - COMPLEXO EMPRESARIAL TRADE CENTER - SHOPPING RIOMAR. PINA, RECIFE, PE. CEP:51110-900;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
FERNANDO BEZERRA COELHO;PE;MDB;Escritório de Apoio 2 do Senador Fernando Bezerra Coelho;RUA IRMÃ JERÔNIMA, 227. COLISEU, PETROLINA, PE. CEP:56304-130;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
FERNANDO COLLOR;AL;PTB;Escritorio de Apoio do Senador Fernando Collor;AVENIDA DR. ANTÔNIO GOMES DE BARROS, 625. EDIFÍCIO THE SQUARE SALAS 716/719. JATIÚCA, MACEIO, AL. CEP:57036-001;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
FLÁVIO ARNS;PR;PODEMOS;Escritório de Apoio do Senador Flávio Arns;RUA NESTOR VICTOR, 255. ESQUINA COM RUA PROF. LUIZ CÉSAR, 121. TEL. (41) 3532-9811. ÁGUA VERDE, CURITIBA, PR. CEP:80620-400;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
FLÁVIO BOLSONARO;RJ;PL;Escritório de Apoio nº 01 do Senador Flávio Bolsonaro;AVENIDA AFONSO ARINOS DE MELO FRANCO, 222. - BLOCO 2A - SALA 308. BARRA DA TIJUCA, RIO DE JANEIRO, RJ. CEP:22631-455;(21) 3627-3800;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GIORDANO;SP;MDB;Escritório de Apoio nº 1 do Senador Giordano;AVENIDA GENERAL ATALIBA LEONEL, 1223. CONJUNTO 63. SANTANA, SÃO PAULO, SP. CEP:02033-000;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
HUMBERTO COSTA;PE;PT;Escritório de Apoio do Senador Humberto Costa;AVENIDA ENGENHEIRO DOMINGOS FERREIRA, 2391. BOA VIAGEM, RECIFE, PE. CEP:51020-031;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
HUMBERTO COSTA;PE;PT;Escritório de Apoio 2 do Senador Humberto Costa;RUA ISAURA CAVALCANTE DE OLIVEIRA, 4. CENTRO, VICENCIA, PE. CEP:55850-000;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
IRAJÁ;TO;PSD;Escritório de Apoio nº 1 do Senador Irajá;QUADRA 104 NORTE, AVENIDA LO 4, LOTE 39, SALA 4. TEL. (63) 3215.7707. PLANO DIRETOR NORTE, PALMAS, TO. CEP:77006-032;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
IZALCI LUCAS;DF;PSDB;Escritório de Apoio do Senador Izalci Lucas;SETOR SDS BLOCO D EDIFÍCIO ELDORADO. SALA 301. BRASÍLIA, DF. CEP:70392-901;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
JADER BARBALHO;PA;MDB;Escritório de Apoio 1 do Senador Jáder Barbalho;RUA GASPAR VIANA, 773. REDUTO, BELÉM, PA. CEP:66053-090;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
JAQUES WAGNER;BA;PT;Escritório de Apoio nº 01 do Senador Jaques Wagner;AVENIDA L. VIANA FILHO, 6462. TORRE WEST, SALA 601. SALVADOR, BA. CEP:41730-101;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
JARBAS VASCONCELOS;PE;MDB;Escritório de Apoio nº1 do Senador Jarbas Vasconcelos;RUA RUA DO JASMIM N° 269. ILHA DO LEITE. RECIFE, PE. CEP:50070-580;(81) 3421-6106;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
JEAN PAUL PRATES;RN;PT;Escritório de Apoio nº 01 do Senador Jean Paul Prates;RUA RAIMUNDO CHAVES, 2170. CANDELÁRIA, NATAL, RN. CEP:59064-390;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
JORGE KAJURU;GO;PODEMOS;Escritório de Apoio nº 01 do Senador Jorge Kajuru;AVENIDA R-, 9. QUADRA R 10 LT. 11 SOBRADO Nº 03. SETOR OESTE, GOIANIA, GO. CEP:74125-110;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
JORGINHO MELLO;SC;PL;Escritório de Apoio nº 01 do Senador Jorginho Mello;RUA SILVA JARDIM, 307. PRAINHA, FLORIANÓPOLIS, SC. CEP:88020-200;(48) 3037-2223;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
JOSÉ SERRA;SP;PSDB;Escritório de Apoio 1 do Senador José Serra;RUA ARTHUR AZEVEDO, 1767. CONJUNTO 95. PINHEIROS, SÃO PAULO, SP. CEP:05404-014;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
KATIA ABREU;TO;PP;Escritório de Apoio da Senadora Kátia Abreu;RUA ARSE 21, ALAMEDA EMAS, QI 10, LOTE 33. SALAS 01, 02 E 03. TEL. (63) 3233-6378. PLANO DIRETOR SUL, PALMAS, TO. CEP:77020-474;(63) 3233-6320;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
KATIA ABREU;TO;PP;Escritório de Apoio nº2 da Senadora Kátia Abreu;;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
LASIER MARTINS;RS;PODEMOS;Escritório de Apoio nº 1 do Senador Lasier Martins;RUA GENERAL ANDRADE NEVES, Nº 14 - SALA 801. CENTRO HISTÓRICO, PORTO ALEGRE, RS. CEP:90010-210;(51) 3061-0123;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
LEILA BARROS;DF;PDT;Escritório de Apoio nº 01 da Senadora Leila Barros;QUADRA SDS. ED. ELDOURADO, BLOCO "D", N. 60, SALA 315. BRASÍLIA, DF. CEP:70392-901;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
LUCAS BARRETO;AP;PSD;Escritório de Apoio nº 01 do Senador Lucas Barreto;AVENIDA EQUATORIAL, 2265. JARDIM MARCO ZERO, MACAPA, AP. CEP:68903-361;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
LUIS CARLOS HEINZE;RS;PP;Escritório de Apoio 1 do Senador Luis Carlos Heinze;RUA RIACHUELO, 1098. PORTO ALEGRE, RS. CEP:90010-270;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
LUIS CARLOS HEINZE;RS;PP;Escritório de Apoio 2 do Senador Luis Carlos Heinze;RUA GENERAL OSÓRIO, 1765. SÃO BORJA, RS. CEP:97670-000;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
LUIZ DO CARMO;GO;PSC;Escritório de Apoio nº 01 do Senador Luiz Carlos do Carmo;AVENIDA R-9, 213. QUADRA R 11 LOTE 11 (CASA COMERCIAL). SETOR OESTE, GOIANIA, GO.;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
MAILZA GOMES;AC;PP;Escritório de Apoio 1 da Senadora Mailza Gomes;AVENIDA TRAVESSA BAHIA, 70. VILA IVONETE CONJUNTO PROCON, RIO BRANCO, AC. CEP:69918620;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
MARA GABRILLI;SP;PSDB;Escritório de Apoio nº 01 da Senadora Mara Gabrilli;AVENIDA PAULISTA, 1159. 11º ANDAR, CONJUNTOS 1111/1112. EDIFÍCIO BARÃO DE SERRO AZUL. SÃO PAULO, SP. CEP:01311-921;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
MARCELO CASTRO;PI;MDB;Escritório de Apoio nº 01 do Senador Marcelo Castro;AVENIDA SENADOR AREIA LEÃO, 1500. SALA 14. JOCKEY CLUB, TERESINA, PI. CEP:64049-110;(86) 3233-4432;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
MARCOS DO VAL;ES;PODEMOS;Escritório de Apoio nº 01 do Senador Marcos do Val;RUA JOÃO DA CRUZ, 195. EDIFÍCIO SEVILHA - SALAS 301 E 302. PRAIA DO CANTO, VITÓRIA, ES. CEP:29055-620;(27) 3376-1551;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
